"id","name","winepoints_signalled","state_signalled","sold","winepoints","state"
21580,"Chateau de Malle 2001 0,75 l",1,1,1,95,"in"
21581,"Moet & Chandon Dom Perignon ""Edition Tokujin Yoshioka"" Brut 2009 0,75 l",1,1,1,93,"0,5 cm"
21582,"Weingut Knipser Cuvee X ""R"" 2001 3,0 l",NULL,1,1,0,"in, Leckspuren"
21583,"Levi, Serafino Grappa - hell ""della Donna Selvatica"" 50 % Vol. 1992 0,7 l",NULL,1,1,0,"6 cm"
21584,"Krug Grande Cuvee Brut NV 0,75 l",1,1,1,91,"0,5 cm"
21585,"Pichler, F.X. ""Unendlich"" Riesling Smaragd 2000 0,75 l",1,1,1,97,"1 cm, Etikett ganz leicht beschädigt, ganz leicht verschmutzt"
21586,"Bodegas Berberana Vina Alarde Gran Reserva 1995 0,75 l",NULL,1,1,0,"in, Etiketten leicht verschmutzt"
21587,"Villa Banfi Cabernet-Sauvignon Tavernelle 1984 1,5 l",NULL,1,NULL,0,"hs, Etikett leicht verschmutzt, Kapsel oxidiert, Leckspuren"
21588,"Pichler, F.X. ""Unendlich"" Riesling Smaragd 2017 0,75 l",1,1,NULL,95,"0,5 cm"
21589,"Chateau Peyreau 2001 0,75 l",NULL,1,NULL,0,"in, Etiketten ganz leicht verschmutzt"
21590,"The Wild Boys of Batonnage Club Batonnage 2008 0,75 l",NULL,1,NULL,0,"2 cm"
21591,"Pahlmeyer Proprietary Red 1993 0,75 l",1,1,NULL,88,"in, Etikett ganz leicht beschädigt"
21592,"Weingüter Wegeler Geheimrat ""J"" Riesling Sekt Brut 1988 0,75 l(1)",1,1,NULL,94,"1,5 cm, Etikett ganz leicht beschädigt"
21593,"Weingut Dr. Loosen Erdener Prälat Alte Reben Grosses Gewächs 2011 1,5 l",NULL,1,NULL,0,"0,5 cm"
21594,"Perrier-Jouet Belle Epoque Brut 1989 0,75 l",NULL,1,NULL,0,"1 cm"
21595,"Mascarello, B. Barolo 1985 0,75 l",NULL,1,NULL,0,"1 cm, Etikett stark beschädigt"
21596,"Heymann Löwenstein Winninger Uhlen Laubach Riesling Erste Lage 2005 0,75 l",1,1,NULL,91,"1,5 cm"
21597,"Jadot, Louis Batard Montrachet Grand Cru 1998 0,75 l",1,1,NULL,94,"0,5 cm"
21598,"Gaja, Angelo Barbaresco 1987 0,75 l",NULL,1,1,0,"1 cm, Etikett ganz leicht beschädigt, ganz leicht verschmutzt"
21599,"Weingut Knipser Laumersheimer Kapellenberg Riesling Kabinett trocken 2010 0,75 l",NULL,1,1,0,"1 cm"
21600,"Antinori Tignanello 2001 0,75 l",1,1,1,93,"in, Etikett stark beschädigt"
21601,"Pichler, F.X. Grüner Veltliner Von den Terrassen Smaragd 2000 0,75 l",NULL,1,1,0,"1 cm"
21714,"Gantenbein Pinot Noir 2007 0,75 l",NULL,1,1,0,"0,5 cm, Etikett ganz leicht beschädigt"
21602,"Chateau d´ Yquem 1971 0,75 l",1,1,1,97,"in, Etikett leicht verschmutzt"
21603,"Tua Rita Giusto di Notri 2006 0,75 l",1,1,1,96,"ts"
21604,"Chateau Mouton-Rothschild 1990 0,75 l",NULL,1,1,0,"ts, Etikett ganz leicht verschmutzt"
21605,"Drappier Cuvee Carte d'Or Brut 1998 1,5 l",NULL,1,1,0,"0,5 cm, Etikett ganz leicht beschädigt, ganz leicht verschmutzt, Degorgé en Decembre 2008"
21606,"The Wild Boys of Batonnage Club Batonnage 2014 0,75 l",NULL,1,1,0,"0,5 cm"
21607,"Pichler, F.X. Dürnsteiner Liebenberg Grüner Veltliner Smaragd 2017 1,5 l",1,1,1,93,"0,5 cm, Etikett ganz leicht beschädigt"
21608,"Quinta do Noval Vintage Port 1966 0,75 l",NULL,1,NULL,0,"ts, ohne Etikett, Name und Jahrgang ist auf der Kapselkappe deklariert, Leckspuren, Kapsel oxidiert"
21609,"Chateau Bon Pasteur 1989 0,75 l",NULL,1,1,0,"in, Etiketten stark verschmutzt"
21610,"Bollinger Vintage R.D. Extra Brut 1976 0,75 l",NULL,1,NULL,0,"1 cm, Etikett ganz leicht beschädigt, Degorgé 17.Novembre 1987"
21611,"Levi, Serafino Grappa - braun  ""della botte piccola"" 52 % Vol. 1984 0,7 l",NULL,1,NULL,0,"7,5 cm, Kapsel ganz leicht beschädigt, Sediment in der Flasche"
21612,"Bodegas Alejandro Fernandez Pesquera Reserva Especial Janus 1982 0,75 l",1,1,1,92,"in, Etikett ganz leicht beschädigt, stark verschmutzt"
21613,"Sine Qua Non Atlantis Syrah Fe 203-1c 2005 0,75 l",1,1,1,10,"in"
21614,"Chateau Cheval Blanc 1990 0,75 l",1,1,1,98,"in"
21615,"Dönnhoff Niederhäuser Hermannshöhle Riesling Grosses Gewächs 2015 0,75 l",1,1,1,97,"0,5 cm, Etiketten ganz leicht beschädigt, ganz leicht verschmutzt"
21616,"Chateau Margaux Pavillon Rouge, 2e vin de Margaux 2001 0,75 l",NULL,1,NULL,0,"in, Etiketten ganz leicht beschädigt"
21617,"The Wild Boys of Batonnage Club Batonnage 2013 0,75 l",NULL,1,1,0,"1,5 cm"
21618,"Moet & Chandon   Brut Imperial NV 1,5 l",NULL,1,1,0,"1 cm"
21619,"Antinori Chianti Classico Riserva Villa Antinori 1986 3,0 l",NULL,1,1,0,"in, Etikett ganz leicht verschmutzt"
21620,"Mayr, Josephus Lamarein 2015 1,5 l",NULL,1,1,0,"in"
21621,"Hardy's HRB Reserve Bin Chardonnay 2016 0,75 l",NULL,1,1,0,"0,5 cm"
21622,"Weil, Robert Kiedricher Gräfenberg Riesling Erstes Gewächs 2016 0,75 l",NULL,1,1,0,"0,5 cm"
21623,"Ferrocinto Magliocco 2012 3,0 l",NULL,1,1,0,"in, Leckspuren"
21624,"Taittinger Comtes de Champagne Blanc de Blanc Brut 1975 0,75 l",NULL,1,1,0,"0,5 cm"
21625,"Jermann Were Dreams 1999 0,75 l",NULL,1,1,0,"2,5 cm, 2 x Kapseln oxidiert"
21626,"Rosemount GSM 2003 0,75 l",NULL,1,1,0,"2 cm, Etiketten ganz leicht verschmutzt"
21627,"Chateau Cheval Blanc 1990 0,75 l",1,1,1,98,"ts"
21628,"Jermann Were Dreams 1989 0,75 l",NULL,1,NULL,0,"2,5 cm, 2 x Kapseln oxidiert"
21629,"Jadot, Louis Chevalier-Montrachet Les Demoiselles Grand Cru 1998 0,75 l",1,1,1,89,"0,5 cm"
21630,"Krug Collection Brut 1962 0,75 l",NULL,1,1,0,"1 cm, Depotbildung"
21631,"Sine Qua Non E-raised Syrah 1998 0,75 l",1,1,1,97,"in"
21632,"Chateau Lafite-Rothschild Carruades de Lafite, 2e Vin de Lafite-Rothschild 2001 0,75 l",1,1,1,90,"in"
22103,"Autreau de Champillon Milliesime Brut  1993 0,75 l",NULL,1,1,0,"0,5 cm"
21633,"Comte Georges de Vogue Musigny Vieilles Vignes Grand Cru 1990 0,375 l",1,1,NULL,96,"1 cm, Etikett beschädigt, verschmutzt"
21634,"Case Basse (Soldera) Brunello di Montalcino 1983 0,75 l",NULL,1,NULL,0,"ts, Kapsel ganz leicht beschädigt"
21635,"Chateau Musar Chateau Musar (rot) 1989 0,75 l",NULL,1,1,0,"ts, Etikett ganz leicht verschmutzt"
21636,"Veuve Clicquot Ponsardin Brut NV 3,0 l",NULL,1,1,0,"1 cm, Etikett leicht beschädigt, ganz leicht verschmutzt, Kapsel ganz leicht beschädigt"
21637,"Chateau Montrose 2005 0,75 l",1,1,1,97,"in, Etikett ganz leicht verschmutzt"
21638,"Stag's Leap Wine Cellars Cabernet Sauvignon ""Artemis"" 2013 0,75 l",NULL,1,1,0,"in, Etiketten ganz leicht verschmutzt"
21639,"Chateau Latour Les Forts de Latour, 2e vin de Latour 1995 0,75 l",NULL,1,1,0,"in"
21640,"Chateau Margaux Pavillon Rouge, 2e vin de Margaux 2002 0,75 l",NULL,1,1,0,"in, Etikett ganz leicht verschmutzt"
21641,"Chateau Haut-Brion 1986 0,75 l",1,1,1,93,"1,5 cm"
21642,"Niepoort Colheita Port 1952 0,75 l",NULL,1,NULL,0,"ts, Kapsel beschädigt"
21643,"Perrier-Jouet Belle Epoque 1999 0,75 l",1,1,1,92,"1 cm"
21644,"Veuve Clicquot Ponsardin La Grande Dame Brut 2006 0,75 l",1,1,1,94,"0,5 cm"
21645,"Domaine de Chevalier   Domaine de Chevalier blanc 2004 0,75 l",1,1,1,95,"in"
21646,"Kühn, Peter Jakob Oestricher Doosberg Riesling Erstes Gewächs 2005 0,75 l(1)",NULL,1,1,0,"0,5 cm"
21647,"Jadot, Louis Gevrey Chambertin Clos St. Jacques 1er Cru 1994 0,75 l",NULL,1,NULL,0,"2 cm, Etiketten ganz leicht beschädigt"
21648,"Jaboulet Aine, Paul Hermitage La Chapelle 1998 0,75 l",1,1,1,96,"1,5 cm, Etiketten verschmutzt"
21649,"Castello dei Rampolla Sammarco 1997 0,75 l",1,1,1,95,"in-ts"
21650,"Chateau Lafite-Rothschild 1989 0,75 l",1,1,1,90,"in"
21651,"Weingut von Winning Kalkofen Riesling Grosses Gewächs 2011 0,75 l",NULL,1,1,0,"0,5 cm, Etiketten ganz leicht beschädigt, ganz leicht verschmutzt"
21652,"Knoll, Emmerich Loibner Loibenberg Grüner Veltliner Smaragd 2010 0,75 l",NULL,1,1,0,"0,5 cm, Etiketten ganz leicht beschädigt"
21653,"Dönnhoff Niederhäuser Hermannshöhle Riesling Grosses Gewächs 2009 0,75 l",1,1,NULL,93,"0,5 cm"
21654,"Henschke Hill of Grace Vineyard Shiraz 1999 0,75 l",1,1,1,97,"in, Etikett ganz leicht beschädigt"
21655,"Bischöfliches Priesterseminar Kanzemer Altenberg Riesling Auslese 1976 0,75 l(1)",NULL,1,1,0,"0,5 cm, Etikett ganz leicht verschmutzt"
21656,"Chateau Clerc-Milon Rothschild 2009 0,75 l",1,1,1,93,"in"
21657,"Chateau Palmer 1992 0,75 l",NULL,1,1,0,"hf-in, Etikett ganz leicht beschädigt"
21658,"Pichler, F.X. Dürnsteiner Liebenberg Grüner Veltliner Smaragd 2017 1,5 l",1,1,NULL,93,"0,5 cm"
21659,"Chateau Rayas Fonsalette Syrah Reserve 1998 0,75 l",1,1,NULL,91,"0,5 cm, Etikett ganz leicht verschmutzt"
21660,"Jadot, Louis Chevalier-Montrachet Les Demoiselles Grand Cru 1998 0,75 l",1,1,NULL,89,"0,5 cm"
21661,"Chateau Margaux Pavillon Rouge, 2e vin de Margaux 1996 0,75 l",NULL,1,NULL,0,"in, Etikett ganz leicht verschmutzt"
21662,"Chateau Palmer 1995 0,75 l",1,1,NULL,90,"hf-in"
21663,"Chateau Lafite-Rothschild 1995 0,75 l",1,1,NULL,95,"hf-in"
21664,"Chateau Mouton-Rothschild 1990 0,75 l",NULL,1,NULL,0,"ts, Etikett ganz leicht verschmutzt, Kapsel ganz leicht beschädigt"
21665,"Bertani Recioto della Valpolocella Clasico Superiore 1967 0,75 l(1)",NULL,1,NULL,0,"3 cm, Etikett ganz leicht verschmutzt"
21666,"Ferrand, Pierre Cognac Grande Champagne Cigare Reserve Havana 1er Cru NV 0,7 l",NULL,1,NULL,0,"1 cm"
21667,"Clos de L´Oratoire 2000 0,75 l",1,1,NULL,92,"in, Etiketten ganz leicht verschmutzt"
21668,"Sattlerhof Sernauberg Sauvignon Blanc 2008 0,75 l",NULL,1,1,0,"in"
21669,"Leflaive, Olivier Puligny-Montrachet Les Pucelles 1er Cru 2005 1,5 l",1,1,1,92,"0,5 cm, Etikett ganz leicht verschmutzt"
21670,"Masi Amarone della Valpolicella Classico 1996 0,75 l",NULL,1,1,0,"1 cm"
21671,"Blankiet Paradise Hills Vineyard ""Prince of Hearts"" 2012 0,75 l",NULL,1,NULL,0,"in"
21672,"Schäfer, Willi Graacher Domprobst Riesling Auslese 2004 0,75 l",NULL,1,NULL,0,"0,5 cm, Etiketten ganz leicht verschmutzt"
21673,"Haskell Vineyards Anvil Chardonnay 2018 0,75 l",NULL,1,1,0,"0,5 cm"
21674,"Bodegas Gallego Zapatero Yotuel Finca La Nava 2010 0,75 l",NULL,1,1,0,"1 cm, Etiketten ganz leicht verschmutzt"
21675,"Domaine des Comtes Lafon Le Montrachet Grand Cru 1985 0,75 l",NULL,1,NULL,0,"4,5 cm, Kapsel ganz leicht beschädigt"
21676,"Mondavi Cabernet Sauvignon ""M"" 2009 0,75 l",1,1,NULL,91,"in"
21677,"Burlotto Barolo Monvigliero 2010 0,75 l",1,1,1,90,"in, Etikett ganz leicht verschmutzt"
21678,"Domaine Weinbach/Faller, Colette Gewürztraminer Mambourg Vendanges Tardives 2001 0,75 l",1,1,1,93,"0,5 cm"
21679,"Druk-My-Niet Cabernet-Sauvignon 2014 0,75 l",NULL,1,NULL,0,"in"
21680,"Knoll, Emmerich Dürnsteiner Schütt Riesling Smaragd 1999 0,75 l",1,1,1,93,"0,5 cm, Etikett ganz leicht beschädigt"
21681,"Domaine Ponsot Griotte Chambertin Grand Cru 1996 0,75 l",NULL,1,1,0,"1,5 cm, Etikett ganz leicht beschädigt, ganz leicht verschmutzt"
21682,"Moet & Chandon Dom Perignon Brut 1966 0,75 l",NULL,1,1,0,"1,5 cm, Etikett leicht beschädigt, ganz leicht verschmutzt, Kapsel ganz leicht beschädigt"
21683,"Prieur, Jacques Le Montrachet Grand Cru 2003 0,75 l",NULL,1,1,0,"1 cm"
21684,"Weingut von Winning Sauvignon Blanc ""500"" 2013 0,75 l",NULL,1,1,0,"0,5 cm"
21685,"Poggio di Sotto Brunello di Montalcino 2010 0,75 l",1,1,1,95,"in-ts"
21686,"Haskell Vineyards Anvil Chardonnay 2018 0,75 l",NULL,1,1,0,"1 cm"
21687,"Bodegas Gallego Zapatero Yotuel Finca La Nava 2010 0,75 l",NULL,1,1,0,"0,5 cm"
21715,"Berthaut, V. & D. Gevrey Chambertin Clos des Chezeaux 1er Cru 1995 0,75 l",NULL,1,1,0,"2 cm, Etiketten ganz leicht verschmutzt"
22161,"Kalleske Shiraz ""Johann Georg"" Old Vine 2014 0,75 l",NULL,1,NULL,0,"in"
21688,"Bryant Family Cabernet Sauvignon 1996 0,75 l",1,1,1,99,"in-ts, Etikett ganz leicht verschmutzt"
21689,"Chateau Margaux Pavillon Blanc 1998 0,75 l",1,1,1,91,"in, Etiketten ganz leicht verschmutzt"
21690,"Pichler, F.X. Loibner Berg Riesling Smaragd 2001 0,75 l",NULL,1,1,0,"1 cm, Etiketten beschädigt, ganz leicht verschmutzt, Zusatzaufkleber"
21691,"Grosset Polish Hill Riesling  2001 0,75 l",1,1,1,93,"0,5 cm, Etiketten ganz leicht beschädigt, ganz leicht verschmutzt, Zusatzaufkleber"
21692,"Salon Le Mesnil Blanc de Blancs Grand Cru Brut 1988 0,75 l",NULL,1,1,0,"0,5 cm, Etikett stark beschädigt, ganz leicht verschmutzt"
21693,"Penfolds Grange Hermitage 1994 0,75 l",1,1,NULL,91,"in"
21694,"Chateau Cheval Blanc 2003 1,5 l",1,1,1,92,"in"
21695,"Roederer, Louis Cristal Brut 2007 0,75 l",1,1,1,95,"0,5 cm"
21696,"Weingut Keller Westhofen Abtserde Riesling Grosses Gewächs 2010 0,75 l",1,1,1,96,"0,5 cm, Etikett ganz leicht beschädigt"
21697,"Domaine Jean Marie Fourrier Gevrey Chambertin Clos St. Jacques 1er Cru 2002 0,75 l",NULL,1,1,0,"0,5 cm, Etikett ganz leicht verschmutzt, US-Re-Import"
21698,"Chateau Cheval Blanc 1982 0,75 l",1,1,1,92,"ts, Etikett ganz leicht verschmutzt"
21699,"Mascarello, Bartolo Barolo 1985 0,75 l",NULL,1,NULL,0,"1 cm, Etikett stark beschädigt"
21700,"Domaine Armand Rousseau Chambertin Grand Cru 2001 0,75 l",1,1,NULL,95,"0,5 cm, Etikett ganz leicht verschmutzt, untere linke Ecke am Etikett ist umgeklappt"
21701,"Fürst, Rudolf Bürgstadter Hundsrück Spätburgunder  Grosses Gewächs 2012 0,75 l",NULL,1,1,0,"0,5 cm, Etiketten ganz leicht beschädigt, ganz leicht verschmutzt"
21702,"Bodegas Vega Sicilia Unico Gran Reserva 1998 1,5 l",1,1,1,98,"in, Etikett ganz leicht verschmutzt"
21703,"Ridge Cabernet Sauvignon ""Monte Bello"" 1995 0,75 l",1,1,1,95,"in, Etikett ganz leicht beschädigt"
21704,"Penfolds Grange Hermitage 1982 0,75 l",1,1,1,94,"in, Etikett ganz leicht verschmutzt"
21705,"Autreau de Champillon Cuvee Millinaire 2000 Grand Cru Brut NV 0,75 l",NULL,1,1,0,"0,5 cm"
21706,"Mas Blanc Banyuls 1979 0,75 l(3)",NULL,1,1,0,"ts, Etiketten ganz leicht verschmutzt, leicht kellergrau"
21707,"Chateau Coutet 1997 0,75 l",1,1,1,90,"in"
21708,"Chateau Montrose La Dame de Montrose, 2e vin de Montrose 2010 0,75 l",1,1,1,94,"in"
21709,"Chateau Haut-Brion 1993 0,75 l",1,1,1,90,"1 cm, Etikett ganz leicht verschmutzt"
21710,"Chateau Haut-Brion 1993 0,75 l",1,1,1,90,"1 cm, Etikett leicht verschmutzt"
21711,"Chateau Haut-Brion 1993 0,75 l",1,1,1,90,"1 cm, Etikett ganz leicht verschmutzt"
21712,"Gantenbein Pinot Noir 2004 0,75 l",NULL,1,1,0,"0,5 cm, Etikett leicht beschädigt, ganz leicht verschmutzt"
22191,"Latour, Louis Chablis La Chanfleure 2016 0,75 l(2)",NULL,1,1,0,"0,5 cm"
21716,"La Rioja Alta Gran Reserva 904 2001 0,75 l",1,1,1,96,"in"
21717,"Niepoort Late Bottled Vintage Port 2007 0,75 l(2)",NULL,1,1,0,"in"
21718,"The Wild Boys of Batonnage Club Batonnage 2014 0,75 l",NULL,1,1,0,"1 cm"
21719,"Gantenbein Pinot Noir  2015 0,75 l",NULL,1,1,0,"0,5 cm"
21720,"Gantenbein Pinot Noir  2015 0,75 l",NULL,1,1,0,"0,5 cm"
21721,"Gantenbein Pinot Noir  2015 0,75 l",NULL,1,1,0,"0,5 cm"
21722,"Moet & Chandon Dom Perignon Brut 1982 0,75 l",1,1,1,96,"1 cm, Etikett ganz leicht beschädigt, Kapsel ganz leicht beschädigt"
21723,"Chateau Lafite-Rothschild 1989 0,75 l",1,1,1,90,"in"
21724,"Weingut Keller Westhofener Kirchspiel Riesling Grosses Gewächs 2009 1,5 l",1,1,1,91,"1 cm, Etikett beschädigt, Kapsel ganz leicht beschädigt"
21725,"Ornellaia 2009 1,5 l",1,1,1,97,"in, designed by Zhang Huan ""Konfuzius"""
21727,"Pichler, F.X. Grüner Veltliner M Smaragd 2017 0,75 l",1,1,1,93,"0,5 cm"
21728,"Weingut Pfeffingen Ungsteiner Herrenberg Riesling Großes Gewächs 2011 0,75 l",NULL,1,1,0,"0,5 cm"
21729,"Almeida de, Manuel Vinho Velho Garrafeira Particular 1942 0,75 l",NULL,1,NULL,0,"ts, Etikett ganz leicht verschmutzt, Depot"
21730,"Peters, Pierre Cuvee Speciale Les Chétillons Blanc de Blancs Grand Cru Le Mesnil Brut 2002 0,75 l",1,1,1,96,"1 cm"
21731,"Cossart Gordon & Co. Madeira Bual 1958 0,75 l",NULL,1,1,0,"in, bottled in 2006"
21732,"Tenuta San Guido Sassicaia 2002 0,75 l",NULL,1,1,0,"ts, OHK mit Originalband verschlossen, Füllstand geschätzt"
21733,"Chateau Lynch-Bages 2001 0,75 l",1,1,1,91,"in"
21734,"Chateau Mouton-Rothschild 2003 0,75 l",1,1,1,91,"in"
21735,"Leitz, Josef Rüdesheimer Berg Rottland Riesling ""Alte Reben"" Goldkapsel trocken 2006 0,75 l",NULL,1,1,0,"0,5 cm, 2 x Kapseln oxidiert"
21736,"Flagman's Colheita Port 1941 0,75 l",NULL,1,NULL,0,"in"
21737,"Koehler-Ruprecht Kallstadter Saumagen Riesling Auslese trocken 2005 0,75 l",NULL,1,1,0,"0,5 cm"
21738,"Gosset Grand Millesime Brut 1975 0,75 l",NULL,1,1,0,"1 cm, Etikett ganz leicht verschmutzt"
21739,"Clarendon Hills Cabernet Sauvignon ""Hickinbotham Vineyard"" 1998 0,75 l",NULL,1,NULL,0,"in"
21740,"Caymus Cabernet Sauvignon 1997 1,5 l",NULL,1,1,0,"ts"
21741,"Ca ´del Bosco Franciacorta Cuvee Annamaria Clementi Brut 1990 3,0 l",1,1,1,90,"1 cm, Millennium Sonderausgabe"
21742,"Bodegas Muga Torre Muga 1994 0,75 l",1,1,1,91,"in"
21743,"Chateau Lafite-Rothschild Carruades de Lafite, 2e Vin de Lafite-Rothschild 2006 0,75 l",1,1,1,90,"in"
21744,"Erika Obermeyer Sauvignon Blanc 2017 0,75 l",NULL,1,1,0,"0,5 cm"
21908,"Burgaud, Bernard Cote Rotie 1986 0,75 l(1)",NULL,1,1,0,"3 cm, Etikett ganz leicht verschmutzt"
21745,"Chateau L´If 2016 0,75 l",1,1,NULL,94,"in"
21746,"Clos Saint Jean Chateauneuf-du-Pape 2008 0,75 l",1,1,1,90,"1 cm"
21747,"Quilceda Creek Cabernet Sauvignon 2015 0,75 l",1,1,1,96,"in"
21748,"Ridge Cabernet Sauvignon ""Santa Cruz"" 1995 0,75 l",NULL,1,1,0,"in, Etikett ganz leicht beschädigt, ganz leicht verschmutzt"
21749,"Chateau La Tour Figeac 1986 0,75 l(1)",NULL,1,1,0,"ts, Etikett leicht verschmutzt"
21750,"Pichler, F.X. Dürnsteiner Kellerberg Riesling Smaragd 2005 0,75 l(2)",1,1,1,91,"0,5 cm"
21751,"Chateau Lafite-Rothschild 1999 0,75 l",1,1,1,95,"in, Etikett ganz leicht verschmutzt"
21752,"Chateau Lynch-Bages 2002 0,75 l(1)",1,1,1,91,"in, Etikett ganz leicht verschmutzt"
21753,"Feudi di San Gregorio Serpico 2003 0,75 l",NULL,1,1,0,"in"
21754,"Chateau Leydet-Figeac 1994 0,75 l(1)",NULL,1,1,0,"in, Etikett ganz leicht verschmutzt, leicht kellergrau"
21755,"Il Marroneto Brunello di Montalcino Madonna delle Grazie 2004 0,75 l",NULL,1,1,0,"in, Etikett ganz leicht beschädigt"
21756,"Chateau l´Angelus 1988 0,75 l",1,1,1,91,"in, Etikett ganz leicht beschädigt, ganz leicht verschmutzt"
21757,"Tenuta il Poggione Brunello di Montalcino 2004 0,75 l",1,1,1,94,"in"
21758,"Chateau La Mission-Haut-Brion 1986 0,75 l",1,1,1,97,"in, Etikett ganz leicht verschmutzt, Kapsel beschädigt"
21759,"Chateau l´Angelus 1994 1,5 l",1,1,1,92,"ts, Etikett ganz leicht verschmutzt, Kapsel ganz leicht beschädigt"
21760,"Chateau Parempuyre 1948 0,75 l(1)",NULL,1,1,0,"Abfüller: Cruse, lms-ls, Etikett stark verschmutzt, stark kellergrau, Kapsel leicht beschädigt, Importeur: Fischer, Hamburg; Kapsel oxidiert"
21761,"Chateau de Beaucastel Chateauneuf-du-Pape Hommage a Jacques Perrin 2003 0,75 l",1,1,NULL,95,"1 cm"
21762,"Chateau Haut-Bailly 1990 0,75 l(1)",1,1,1,93,"in, Etikett ganz leicht verschmutzt"
21763,"Bodegas Vega Sicilia Alion Reserva 1992 0,75 l(1)",NULL,1,1,0,"ts, Etikett ganz leicht beschädigt, ganz leicht verschmutzt"
21764,"Chateau Pontet-Canet 1949 0,75 l(1)",NULL,1,1,0,"Abfüller: Dircks, Bordeaux, lms-ls, Etikett stark beschädigt, stark verschmutzt, Kapsel ganz leicht beschädigt, Importeur: Michelsen, Hamburg"
21765,"Chateau Montrose 2005 0,75 l",1,1,1,97,"in, Etiketten ganz leicht verschmutzt"
